Krishna Bakka.
Hashing project code.
This program hashing technique to fill the given data in to a table by using two CRP's.

****** HASH TABLE ******

Index    KEY     Probe
  0.     103       1
  1.     618       2
  2.     309       3
  3.       3       1
  4.     515       5
  5.       2       4
  6.       6       1
  7.     109       2
  8.     111       1
  9.       9       1
 10.       9       2
 11.     206      12
 12.     211       8
 13.     734       1
 14.       8       7
 15.      12       4
 16.     932      12
 17.      17       1
 18.    2901       2
 19.     111      12
 20.       0      21
 21.      -1       0
 22.      22       1
 23.      -1       0
 24.      24       1
 25.      -1       0
 26.   15991       1
 27.      -1       0
 28.      -1       0
 29.      29       1
 30.      30       1
 31.    8889       1
 32.    9301       2
 33.      33       1
 34.      -1       0
 35.     550       1
 36.      -1       0
 37.    8998       1
 38.      38       1
 39.      39       1
 40.    3439       1
 41.      40       2
 42.    3337       2
 43.    2103       1
 44.    2309       2
 45.    4883       4
 46.      -1       0
 47.      -1       0
 48.      48       1
 49.     152       1
 50.      49       2
 51.      -1       0
 52.     155       1
 53.      -1       0
 54.      -1       0
 55.      55       1
 56.    5000       1
 57.    5824       2
 58.    5103       3
 59.     780       1
 60.    5309       5
 61.     366       5
 62.     989       1
 63.      60       4
 64.      61       4
 65.    9433       6
 66.     581       1
 67.    1091       7
 68.    9230       6
 69.      69       1
 70.    1100       1
 71.      67       5
 72.    9033       1
 73.      73       1
 74.    1206       2
 75.    1309       3
 76.    1103       4
 77.     901       1
 78.     799       1
 79.     800       1
 80.     801       1
 81.      78       4
 82.    9536      23
 83.      -1       0
 84.     702       1
 85.     290       2
 86.      -1       0
 87.     190       1
 88.      88       1
 89.    5033       1
 90.      -1       0
 91.      -1       0
 92.    3388       1
 93.     298       2
 94.    9982       1
 95.     301       1
 96.      -1       0
 97.      -1       0
 98.      -1       0
 99.      99       1
100.      -1       0
101.    9577       1
102.     308       1

The total probe count is: 243
