Krishna Bakka.
Hashing project code.
This program hashing technique to fill the given data in to a table by using two CRP's.
This table has INCR of 1.

****** HASH TABLE ******

Index    KEY     Probe
  0.     111       3
  1.     111       4
  2.       2       1
  3.       3       1
  4.      -1       0
  5.      -1       0
  6.       6       1
  7.      -1       0
  8.     799       1
  9.       9       1
 10.     800       2
 11.     801       2
 12.       8       5
 13.      12       2
 14.      -1       0
 15.      15       1
 16.     581       1
 17.      17       1
 18.    1599       2
 19.    5103       2
 20.     128       6
 21.      -1       0
 22.      22       1
 23.      -1       0
 24.      24       1
 25.     702       2
 26.    4883       3
 27.     366       1
 28.    5000       1
 29.     932       2
 30.      30       1
 31.      29       3
 32.    1953       1
 33.      33       1
 34.    1954       2
 35.    9301       1
 36.     149       1
 37.     822       7
 38.    9982       1
 39.     152       1
 40.      40       1
 41.      39       3
 42.     155       1
 43.      38       6
 44.    9536       1
 45.      -1       0
 46.      -1       0
 47.      -1       0
 48.      48       1
 49.    2309       1
 50.    3439       2
 51.      49       3
 52.      -1       0
 53.     618       1
 54.    9433       1
 55.      55       1
 56.     734       1
 57.    1975       4
 58.      -1       0
 59.      -1       0
 60.      60       1
 61.    5824       1
 62.    5033       2
 63.     515       1
 64.      61       4
 65.    3337       6
 66.    1309       1
 67.     290       4
 68.      67       2
 69.    2103       1
 70.      69       2
 71.    8998       1
 72.     298       1
 73.      73       1
 74.    1091       1
 75.    8889       1
 76.    1206       1
 77.    2901       2
 78.      78       1
 79.    9230       3
 80.     190       4
 81.     301       7
 82.     308       1
 83.     309       1
 84.    1100       2
 85.     989       1
 86.    1103       1
 87.    9577       3
 88.      88       1
 89.     991       3
 90.    2222      16
 91.     654       3
 92.      80      13
 93.     206       1
 94.      68      27
 95.      -1       0
 96.      -1       0
 97.      -1       0
 98.     550       1
 99.      99       1
100.     211       3
101.      -1       0
102.     780       1
103.     103       1
104.     102       3
105.     557       1
106.    9033       1
107.      -1       0
108.      -1       0
109.     109       1
110.     901       1
111.    3388       1
112.    5309       2

The total probe count is: 231
