Krishna Bakka.
Hashing project code.
This program checks how many collisions are required to fill
a given set of data in different prime numbered tables.

************************* HASH TABLE **************************

Table Size      Percent Full    Total Collisions
       151             66.23                  22
       157             63.69                  33
       163             61.35                  22
       167             59.88                  23
       173             57.80                  28
       179             55.87                  19
       181             55.25                  23
       191             52.36                  24
       193             51.81                  23
       197             50.76                  23
       199             50.25                  27
       211             47.39                  17
       223             44.84                  27
       227             44.05                  23
       229             43.67                  17
       233             42.92                  18
       239             41.84                  15
       241             41.49                  23
       251             39.84                  16
       257             38.91                  23
       263             38.02                  25
       269             37.17                  27
       271             36.90                  18
       277             36.10                  16
       281             35.59                  16
       283             35.34                  14
       293             34.13                  16
       307             32.57                  13
       311             32.15                  19
       313             31.95                   9
       317             31.55                  19
       331             30.21                  14
       337             29.67                  12
       347             28.82                   6
       349             28.65                  16
       353             28.33                   4
       359             27.86                  13
       367             27.25                  13
       373             26.81                  15
       379             26.39                  13
       383             26.11                  11
       389             25.71                  10
       397             25.19                  13
       401             24.94                  18
       409             24.45                   1
       419             23.87                   4
       421             23.75                   6
       431             23.20                   5
       433             23.09                   9
       439             22.78                   5
       443             22.57                   6
       449             22.27                  10
       457             21.88                  10
       461             21.69                  10
       463             21.60                  10
       467             21.41                   6
       479             20.88                   6
       487             20.53                  10
       491             20.37                   9
       499             20.04                  13
       503             19.88                  15
       509             19.65                  16
       521             19.19                  11
       523             19.12                   6
       541             18.48                   9
       547             18.28                  13
       557             17.95                   7
       563             17.76                   8
       569             17.57                  10
       571             17.51                   1
       577             17.33                   6
       587             17.04                  11
       593             16.86                   6
       599             16.69                   5
       601             16.64                   4
       607             16.47                   1
       613             16.31                   2
       617             16.21                   5
       619             16.16                   5
       631             15.85                  10
       641             15.60                   8
       643             15.55                   2
       647             15.46                   8
       653             15.31                   5
       659             15.17                   3
       661             15.13                   2
       673             14.86                   6
       677             14.77                  10
       683             14.64                   6
       691             14.47                  11
       701             14.27                   7
       709             14.10                   4
       719             13.91                   9
       727             13.76                   6
       733             13.64                   6
       739             13.53                   2
       743             13.46                   2
       751             13.32                   5
       757             13.21                   2
       761             13.14                   9
       769             13.00                   7
       773             12.94                   6
       787             12.71                   3
       797             12.55                  10
       809             12.36                   6
       811             12.33                   2
       821             12.18                   6
       823             12.15                   4
       827             12.09                   4
       829             12.06                   4
       839             11.92                   4
       853             11.72                   4
       857             11.67                   6
       859             11.64                   7
       863             11.59                   6
       877             11.40                   3
       881             11.35                   3
       883             11.33                   3
       887             11.27                   4
