Krishna Bakka.
Hashing project code.
This program checks how many collisions are required to fill
a given set of data in different prime numbered tables.

************************* HASH TABLE **************************

Table Size      Percent Full    Total Collisions
       151             66.23                  36
       157             63.69                  31
       163             61.35                  30
       167             59.88                  26
       173             57.80                  26
       179             55.87                  22
       181             55.25                  23
       191             52.36                  20
       193             51.81                  25
       197             50.76                  22
       199             50.25                  22
       211             47.39                  28
       223             44.84                  17
       227             44.05                  24
       229             43.67                  27
       233             42.92                  22
       239             41.84                  15
       241             41.49                  20
       251             39.84                  20
       257             38.91                  19
       263             38.02                  20
       269             37.17                  16
       271             36.90                  13
       277             36.10                  15
       281             35.59                  25
       283             35.34                  21
       293             34.13                  13
       307             32.57                  19
       311             32.15                  15
       313             31.95                  10
       317             31.55                  13
       331             30.21                  12
       337             29.67                  13
       347             28.82                  12
       349             28.65                  11
       353             28.33                  12
       359             27.86                  16
       367             27.25                  13
       373             26.81                  13
       379             26.39                  15
       383             26.11                   9
       389             25.71                   9
       397             25.19                  10
       401             24.94                  13
       409             24.45                  14
       419             23.87                  17
       421             23.75                  13
       431             23.20                  11
       433             23.09                   9
       439             22.78                   9
       443             22.57                  11
       449             22.27                  10
       457             21.88                   6
       461             21.69                   8
       463             21.60                   6
       467             21.41                  10
       479             20.88                  13
       487             20.53                   7
       491             20.37                   8
       499             20.04                   7
       503             19.88                   9
       509             19.65                   9
       521             19.19                   8
       523             19.12                  11
       541             18.48                   5
       547             18.28                   9
       557             17.95                  10
       563             17.76                   7
       569             17.57                   9
       571             17.51                   9
       577             17.33                   9
       587             17.04                   6
       593             16.86                  12
       599             16.69                   9
       601             16.64                   6
       607             16.47                   8
       613             16.31                   7
       617             16.21                   9
       619             16.16                   7
       631             15.85                   6
       641             15.60                   9
       643             15.55                   5
       647             15.46                   8
       653             15.31                   2
       659             15.17                   5
       661             15.13                   6
       673             14.86                  10
       677             14.77                   9
       683             14.64                   8
       691             14.47                   6
       701             14.27                   7
       709             14.10                   4
       719             13.91                   7
       727             13.76                   8
       733             13.64                   4
       739             13.53                   7
       743             13.46                   1
       751             13.32                   3
       757             13.21                   2
       761             13.14                   3
       769             13.00                   1
       773             12.94                   2
       787             12.71                   8
       797             12.55                   6
       809             12.36                   2
       811             12.33                   4
       821             12.18                   8
       823             12.15                   8
       827             12.09                  11
       829             12.06                   5
       839             11.92                   5
       853             11.72                   2
       857             11.67                   3
       859             11.64                   4
       863             11.59                   1
       877             11.40                   5
       881             11.35                   2
       883             11.33                   8
       887             11.27                   3
       907             11.03                   5
       911             10.98                   8
       919             10.88                   3
       929             10.76                   2
       937             10.67                   6
       941             10.63                   7
       947             10.56                   4
       953             10.49                   2
